patterns,Weight Denis,final weight
(bilan\w+|empreint\w+) carbon\w+,3.00,3.00
[ée]nerg\w+ (revouvelab\w+|vertes?),2.00,2.00
transiti\w+ ([ée]nerg\w+|ecolog\w+),2.00,2.00
solaires?,1.00,1.00
eolien\w+,1.00,1.00
gestion\w+ envir\w+,2.00,2.00
[ée]colo\w+,1.00,1.00
consom\w+ énerg\w+,2.00,2.00
effica\w+ énerg\w+,2.00,2.00
utilis\w+ énerg\w+,2.00,2.00
bas[- ]carbon\w+,2.00,2.00
décarbon\w+,1.00,1.00
gaz (effets? )?serre,2.00,2.00
(suivis? )?développ\w+ durab\w+,3.00,3.00
efficacité ressources,2.00,2.00
consom\w+ durab\w+,4.00,4.00
gestio\w+ durab\w+,2.00,2.00
pratiques? Durabl\w+,2.00,2.00
produ\w+ durab\w+,2.00,2.00
températ\w+ mond\w+ moyenne,4.00,4.00
(dioxyde carbone|CO2),3.00,3.00
changements? conditions? (météorologiques?|climatiques?),3.00,3.00
climat\w+,1.00,1.00
actions? Climat\w+,3.00,3.00
adaptations? (changements? )climat\w+,3.00,3.00
politiques? climat\w+,2.00,2.00
chang\w+ Clima\w+,2.00,2.00
gestion chang\w+ clima\w+,3.00,3.00
planifications? chang\w+ clima\w+,3.00,3.00
politiques? matières? chang\w+ clima\w+,4.00,4.00
alerte précoce clima\w+,3.00,3.00
risque\w+ clima\w+,2.00,2.00
impact clima\w+,2.00,2.00
atténu\w+ clima\w+,2.00,2.00
réfugiés? climatiques?,2.00,2.00
risques? (liés )?clima\w+,3.00,3.00
résist\w+ clima\w+,2.00,2.00
capture (co2|dioxyde carbone),3.00,3.00
conversion (co2|dioxyde carbone),2.00,2.00
Cop ?[0-9]+,1.00,1.00
Cop ?21,1.00,1.00
ecosyst\w+,1.00,1.00
conditions? météo\w+ extr\w+,3.00,3.00
événements? météo\w+ extr\w+,3.00,3.00
temp\w+ moyenne mond\w+,3.00,3.00
température mondiale,2.00,2.00
réchauff\w+ clima\w+,2.00,2.00
gaz (effets? )serre,4.00,4.00
émissions gaz (effets? )serre,4.00,4.00
gaz serre,2.00,2.00
(pertes?|fontes?|diminutions?|réductions?) (glaces?|calottes?( polaires?)|permafrost|pergelisol),2.00,2.00
